Dataset,Dataset_File,OpenML_ID,Instances,Features,IR,IR_Category,Feature_Interval,Feature_Interval_Order,Fold,SVM_Kernel,Noise_Scale,SVM_Margin,Precision,Recall,AUC_PR,GMean,Generated_Samples,Synthetic_Added,Majority_Removed,Net_Row_Change,Resample_Time_s,Time_per_Instance_ms,Status,Message
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,rbf,0.05,0.25,0.7200647249190939,0.898989898989899,0.6778559448462361,0.8734542412048509,64,64,1041,-977,0.5683896541595459,8.881088346242905,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.05,0.5,0.7280265339966833,0.8850806451612904,0.6791394976380016,0.8706821732012486,130,130,1020,-890,0.6417124271392822,4.936249439532941,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.05,0.5,0.6986089644513137,0.9112903225806451,0.6634812261564607,0.869379574739954,158,158,1041,-883,0.6054332256317139,3.8318558584285687,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.05,0.5,0.6970633693972179,0.9111111111111111,0.661964207868381,0.8688354764043721,121,121,1029,-908,0.6547071933746338,5.410803251030031,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.05,0.5,0.7064516129032258,0.8848484848484849,0.6599011740947225,0.8625276664838285,155,155,1017,-862,0.6468067169189453,4.1729465607673895,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,5,rbf,0.05,0.5,0.712,0.898989898989899,0.6706058386058386,0.870296895634211,126,126,1041,-915,0.5686922073364258,4.5134302169557605,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,1,rbf,0.05,0.75,0.7248322147651006,0.8709677419354839,0.670353677498081,0.8637126211877327,191,191,1020,-829,0.6028382778167725,3.156221349826034,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,2,rbf,0.05,0.75,0.7102803738317757,0.9193548387096774,0.6774048235990275,0.8773531441199028,208,208,1041,-833,2.41731595993042,11.621711345819326,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,3,rbf,0.05,0.75,0.703875968992248,0.9171717171717172,0.6706056561870516,0.8740186221328817,201,201,1029,-828,2.0975420475006104,10.435532574629901,success,
CPU small,cpu_small,735,8192,12,2.307226483649576,Low,10 < Features <= 30,2,4,rbf,0.05,0.75,0.7180327868852459,0.8848484848484849,0.6701487583454796,0.8670037093406191,234,234,1017,-783,0.6330351829528809,2.705278559627696,success,
