Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.3812 ± 0.0598,0.4270 ± 0.0800,0.4314 ± 0.0619,0.5739 ± 0.0518
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.3813 ± 0.0578,0.4327 ± 0.0759,0.4330 ± 0.0636,0.5764 ± 0.0471
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.4764 ± 0.1044,0.3540 ± 0.0707,0.4284 ± 0.0591,0.5538 ± 0.0595
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.4750 ± 0.0910,0.3314 ± 0.0456,0.4146 ± 0.0585,0.5390 ± 0.0389
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,BSSMOTE w/o SVM,w/o SVM,--,0.3655 ± 0.0493,0.4835 ± 0.0604,0.4255 ± 0.0672,0.5936 ± 0.0361
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.3827 ± 0.0643,0.4214 ± 0.0818,0.4364 ± 0.0661,0.5703 ± 0.0511
Blood-transfusion,1464,Features <= 10,3.2022,Low,4,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3843 ± 0.0754,0.4325 ± 0.0800,0.4307 ± 0.0733,0.5773 ± 0.0583
Haberman,43,Features <= 10,2.7778,Low,3,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.3681 ± 0.0676,0.5051 ± 0.1209,0.3222 ± 0.0454,0.5851 ± 0.0684
Haberman,43,Features <= 10,2.7778,Low,3,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.3581 ± 0.0280,0.5059 ± 0.0894,0.3133 ± 0.0228,0.5816 ± 0.0412
Haberman,43,Features <= 10,2.7778,Low,3,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.3634 ± 0.0704,0.3471 ± 0.0988,0.3002 ± 0.0299,0.5121 ± 0.0642
