Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Elevators,846,10 < Features <= 30,2.2357,Low,18,LightGBM,SVMSMOTE,Baseline,--,0.8488 ± 0.0169,0.7657 ± 0.0103,0.9022 ± 0.0043,0.8478 ± 0.0043
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,ADASYN,Baseline,--,0.8326 ± 0.0201,0.7096 ± 0.0131,0.8672 ± 0.0069,0.8148 ± 0.0054
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7371 ± 0.0165,0.7476 ± 0.0176,0.8305 ± 0.0095,0.8113 ± 0.0095
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7298 ± 0.0169,0.7524 ± 0.0176,0.8343 ± 0.0074,0.8115 ± 0.0106
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8740 ± 0.0137,0.6505 ± 0.0225,0.8632 ± 0.0052,0.7892 ± 0.0120
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8711 ± 0.0156,0.6593 ± 0.0227,0.8639 ± 0.0036,0.7938 ± 0.0113
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BSSMOTE w/o SVM,w/o SVM,--,0.7238 ± 0.0122,0.7756 ± 0.0124,0.8424 ± 0.0092,0.8203 ± 0.0081
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,BorderlineSMOTE,Baseline,--,0.8316 ± 0.0182,0.7047 ± 0.0182,0.8652 ± 0.0066,0.8120 ± 0.0084
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7335 ± 0.0162,0.7474 ± 0.0166,0.8303 ± 0.0099,0.8101 ± 0.0088
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7299 ± 0.0145,0.7516 ± 0.0157,0.8309 ± 0.0101,0.8112 ± 0.0093
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,KMeansSMOTE,Baseline,--,0.8605 ± 0.0142,0.6589 ± 0.0178,0.8608 ± 0.0043,0.7919 ± 0.0084
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,None,None,--,0.8720 ± 0.0150,0.6528 ± 0.0141,0.8637 ± 0.0036,0.7904 ± 0.0074
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,SMOTE,Baseline,--,0.8407 ± 0.0161,0.6895 ± 0.0195,0.8637 ± 0.0046,0.8055 ± 0.0087
Elevators,846,10 < Features <= 30,2.2357,Low,18,RF,SVMSMOTE,Baseline,--,0.8134 ± 0.0180,0.7029 ± 0.0142,0.8580 ± 0.0050,0.8074 ± 0.0059
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,ADASYN,Baseline,--,0.9045 ± 0.0803,0.9036 ± 0.0745,0.8467 ± 0.1174,0.9343 ± 0.0522
Vehicle,994,10 < Features <= 30,2.8807,Low,18,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.8809 ± 0.0601,0.9127 ± 0.0594,0.8289 ± 0.0896,0.9344 ± 0.0397
